Age,Primary streaming service,Hours per day,While working,Fav genre,Exploratory,Foreign languages,BPM,Frequency [Hip hop],Frequency [Pop],Frequency [Rock],Anxiety,Depression,Insomnia,Music effects
18,I do not use a streaming service.,2,Yes,Metal,Yes,Yes,150,Never,Rarely,Very frequently,5,7,7,Improve
21,Spotify,3,Yes,Country,Yes,No,108,Rarely,Sometimes,Very frequently,0,8,0,Improve
20,Spotify,3,No,Country,Yes,Yes,119,Sometimes,Very frequently,Sometimes,8,4,3,Improve
19,Spotify,2,Yes,Country,Yes,No,125,Never,Rarely,Sometimes,7,2,0,No effect
25,I do not use a streaming service.,1,No,Pop,No,Yes,,Rarely,Very frequently,Very frequently,9,9,6,No effect
31,Spotify,8,Yes,Classical,Yes,Yes,,Never,Never,Rarely,5,7,5,Improve
21,Spotify,1,Yes,Pop,Yes,Yes,85,Rarely,Very frequently,Sometimes,5,1,0,Improve
31,YouTube Music,1,No,Folk,Yes,Yes,113,Rarely,Never,Sometimes,4,1,3,Improve
20,YouTube Music,1,No,Pop,Yes,No,86,Never,Very frequently,Sometimes,3,5,3,Improve
19,Spotify,5,Yes,Rock,Yes,No,141,Rarely,Sometimes,Very frequently,2,2,0,Improve
19,Other streaming service,5,Yes,EDM,Yes,Yes,97,Sometimes,Rarely,Sometimes,0,1,3,Improve
23,Spotify,4,Yes,Metal,Yes,Yes,,Sometimes,Very frequently,Very frequently,7,8,6,Improve
24,I do not use a streaming service.,8,Yes,Video game music,Yes,No,120,Very frequently,Rarely,Very frequently,6,4,8,Improve
20,Other streaming service,0.7,No,Rock,No,No,144,Never,Very frequently,Very frequently,5,6,8,Improve
15,Spotify,3,No,Video game music,No,No,84,Sometimes,Very frequently,Very frequently,6,6,2,No effect
17,Spotify,7,Yes,Hip hop,No,Yes,84,Very frequently,Rarely,Rarely,8,9,3,Improve
20,I do not use a streaming service.,1.5,No,Video game music,No,Yes,60,Never,Never,Never,8,4,3,Worsen
14,Spotify,4,Yes,Video game music,Yes,Yes,81,Rarely,Sometimes,Never,8,6,5,Improve
24,Spotify,4,Yes,Metal,Yes,Yes,150,Rarely,Sometimes,Very frequently,8,8,7,Improve
14,Other streaming service,10,Yes,Video game music,No,No,95,Sometimes,Never,Rarely,5,2,5,Improve
23,Spotify,2,Yes,Rock,Yes,No,138,Sometimes,Sometimes,Very frequently,6,8,4,No effect
28,Apple Music,2,Yes,Rock,No,No,,Never,Sometimes,Very frequently,7,5,2,No effect
22,Spotify,6,Yes,Jazz,Yes,Yes,140,Rarely,Sometimes,Very frequently,8,8,7,Improve
25,Spotify,0.5,Yes,Rock,Yes,Yes,139,Rarely,Sometimes,Very frequently,10,2,0,Improve
27,Spotify,2,Yes,Pop,Yes,Yes,100,Sometimes,Very frequently,Sometimes,8,7,7,Improve
18,Spotify,5,Yes,Rock,Yes,Yes,,Rarely,Very frequently,Very frequently,8,8,8,Improve
17,Apple Music,3,Yes,Pop,Yes,No,120,Sometimes,Very frequently,Very frequently,8,10,9,Improve
23,Other streaming service,4.5,Yes,Rock,No,Yes,,Sometimes,Sometimes,Very frequently,6,1,8,No effect
40,Other streaming service,3,Yes,Rock,Yes,Yes,178,Never,Sometimes,Sometimes,0,4,4,Improve
27,Spotify,20,Yes,Rock,Yes,Yes,,Rarely,Rarely,Very frequently,8,10,10,No effect
18,Spotify,1,No,Pop,Yes,No,100,Sometimes,Very frequently,Sometimes,3,2,0,No effect
16,Spotify,2.5,No,Metal,Yes,No,110,Never,Never,Very frequently,5,3,3,Improve
18,Spotify,1,No,Rock,Yes,Yes,108,Sometimes,Sometimes,Very frequently,8,9,6,Improve
23,Spotify,2,No,Jazz,No,Yes,,Rarely,Rarely,Rarely,10,3,0,No effect
15,I do not use a streaming service.,5,Yes,Metal,Yes,No,161,Never,Rarely,Sometimes,6,7,8,Improve
20,Apple Music,3,Yes,Metal,Yes,No,200,Rarely,Rarely,Very frequently,7,4,7,Improve
16,Spotify,3,Yes,Rock,Yes,No,,Never,Rarely,Very frequently,9,8,6,Improve
16,Spotify,0.5,No,Rock,No,Yes,156,Rarely,Sometimes,Very frequently,8,0,0,Improve
20,Apple Music,8,Yes,Country,Yes,No,120,Rarely,Rarely,Sometimes,8,9,2,No effect
33,Spotify,2,Yes,Metal,Yes,Yes,,Sometimes,Never,Sometimes,7,2,3,Improve
22,Spotify,3,Yes,Rock,Yes,Yes,90,Rarely,Sometimes,Very frequently,10,10,4,Improve
21,Spotify,3,Yes,Hip hop,Yes,Yes,85,Very frequently,Very frequently,Very frequently,8,8,3,Improve
21,Apple Music,5,Yes,Metal,Yes,Yes,171,Very frequently,Rarely,Sometimes,8,7,7,Improve
29,Apple Music,1.5,Yes,Rock,Yes,Yes,108,Rarely,Very frequently,Very frequently,8,7,1,Improve
56,I do not use a streaming service.,1,Yes,Pop,No,No,105,Never,Sometimes,Sometimes,6,5,10,No effect
17,Spotify,2,Yes,Pop,Yes,No,76,Rarely,Very frequently,Never,7,6,0,Improve
22,Spotify,1,Yes,Pop,No,No,108,Never,Very frequently,Rarely,7,4,0,Improve
26,Spotify,4,Yes,Pop,Yes,Yes,140,Sometimes,Very frequently,Very frequently,8,7,2,No effect
30,Spotify,1,Yes,EDM,Yes,Yes,200,Sometimes,Never,Never,4,4,4,Improve
49,Spotify,2,Yes,Folk,Yes,No,147,Sometimes,Sometimes,Rarely,0,0,2,No effect
22,Spotify,2,Yes,EDM,Yes,Yes,120,Sometimes,Sometimes,Sometimes,6,4,0,Improve
32,Spotify,2,No,Rock,Yes,No,158,Sometimes,Sometimes,Sometimes,4,7,0,Improve
32,I do not use a streaming service.,1,No,Rock,No,No,110,Never,Very frequently,Very frequently,8,4,3,No effect
22,YouTube Music,6,Yes,Country,Yes,No,103,Sometimes,Never,Very frequently,5,5,3,Improve
17,Spotify,2,Yes,Rock,Yes,Yes,93,Rarely,Very frequently,Very frequently,0,8,0,Improve
21,Spotify,4,Yes,Rock,Yes,No,62,Never,Very frequently,Very frequently,7,4,6,Improve
17,Spotify,1.5,Yes,Rock,Yes,Yes,180,Never,Sometimes,Very frequently,8,7,7,No effect
25,Spotify,3,Yes,Metal,No,No,150,Never,Sometimes,Very frequently,9,8,6,Improve
15,Spotify,4,Yes,Rock,Yes,No,105,Rarely,Very frequently,Very frequently,8,6,4,Improve
13,Spotify,10,Yes,Rap,Yes,No,140,Sometimes,Rarely,Never,7,2,0,Improve
38,Spotify,3,Yes,Rock,No,Yes,,Never,Sometimes,Very frequently,6,7,7,No effect
23,Apple Music,3,No,Rock,Yes,No,161,Rarely,Sometimes,Very frequently,7,6,4,Improve
17,Spotify,3,Yes,Pop,Yes,Yes,120,Very frequently,Very frequently,Very frequently,1,1,1,Improve
59,YouTube Music,2,Yes,Pop,Yes,No,103,Rarely,Very frequently,Sometimes,1,1,3,Improve
22,Spotify,2,Yes,Pop,Yes,No,72,Sometimes,Very frequently,Sometimes,2,7,1,Improve
17,Apple Music,3,Yes,Pop,Yes,Yes,113,Very frequently,Very frequently,Sometimes,6,2,3,No effect
27,Spotify,2,No,Pop,No,No,120,Never,Very frequently,Sometimes,7,7,3,No effect
23,Spotify,5,Yes,Video game music,No,No,95,Rarely,Sometimes,Sometimes,8,7,0,No effect
15,Spotify,6,Yes,Rock,No,No,97,Sometimes,Sometimes,Very frequently,8,3,5,Improve
22,Spotify,3,Yes,EDM,Yes,No,140,Sometimes,Sometimes,Very frequently,5,4,2,Improve
23,Spotify,5,Yes,Lofi,Yes,Yes,120,Rarely,Very frequently,Very frequently,7,10,10,Improve
19,Spotify,5,Yes,Country,Yes,Yes,118,Rarely,Sometimes,Sometimes,7,6,8,Improve
32,Spotify,6,Yes,Rock,No,No,91,Rarely,Sometimes,Very frequently,8,7,0,Improve
40,Spotify,6,Yes,Rock,Yes,Yes,128,Sometimes,Sometimes,Very frequently,10,7,3,No effect
21,Spotify,3,Yes,Country,Yes,No,86,Sometimes,Sometimes,Sometimes,6,5,5,Improve
21,Spotify,10,Yes,Rock,Yes,Yes,107,Rarely,Very frequently,Very frequently,8,7,6,No effect
23,Spotify,2,Yes,Video game music,Yes,Yes,180,Rarely,Very frequently,Sometimes,10,7,7,Worsen
35,Spotify,3,No,Folk,Yes,No,0,Never,Rarely,Sometimes,8,2,2,No effect
18,Spotify,1.5,No,Hip hop,No,No,150,Sometimes,Very frequently,Sometimes,3,7,4,Improve
21,I do not use a streaming service.,10,Yes,Pop,Yes,No,112,Rarely,Sometimes,Sometimes,9,7,5,Improve
22,I do not use a streaming service.,2,Yes,Video game music,No,Yes,,Sometimes,Very frequently,Sometimes,5,3,0,Improve
23,Spotify,3,Yes,Rock,Yes,Yes,66,Sometimes,Very frequently,Very frequently,10,7,0,Improve
13,Spotify,2.5,Yes,Folk,No,No,118,Never,Very frequently,Never,8,0,0,Improve
19,Spotify,3,Yes,K pop,Yes,Yes,110,Rarely,Very frequently,Very frequently,6,0,3,Improve
33,YouTube Music,0.5,Yes,Rock,No,No,80,Never,Rarely,Sometimes,7,9,4,Improve
18,Spotify,16,Yes,Jazz,Yes,Yes,90,Very frequently,Very frequently,Very frequently,3,2,5,Improve
17,YouTube Music,6,Yes,Classical,Yes,Yes,120,Rarely,Very frequently,Never,4,2,0,Improve
16,Spotify,3,Yes,EDM,Yes,Yes,100,Very frequently,Very frequently,Very frequently,4,2,0,Improve
18,YouTube Music,0.5,No,Rock,Yes,No,66,Never,Sometimes,Very frequently,5,3,1,No effect
19,Spotify,5,Yes,K pop,Yes,Yes,158,Rarely,Very frequently,Rarely,4,2,2,Improve
15,YouTube Music,2,No,Rap,Yes,Yes,105,Very frequently,Rarely,Sometimes,4,0,6,No effect
17,Spotify,2,Yes,Pop,Yes,Yes,208,Rarely,Very frequently,Very frequently,7,6,3,Improve
25,Spotify,2,Yes,Lofi,Yes,Yes,91,Very frequently,Sometimes,Very frequently,7,8,6,Improve
24,Other streaming service,1.5,Yes,Video game music,No,Yes,171,Sometimes,Very frequently,Very frequently,3,4,1,Improve
23,Spotify,1,Yes,Jazz,Yes,No,150,Never,Rarely,Very frequently,9,7,2,Improve
16,Spotify,10,Yes,EDM,Yes,Yes,180,Rarely,Very frequently,Sometimes,10,9,3,Improve
25,YouTube Music,2,Yes,Metal,Yes,Yes,,Rarely,Sometimes,Very frequently,9,9,7,Improve
16,Spotify,15,Yes,EDM,Yes,No,85,Rarely,Sometimes,Very frequently,8,10,9,Improve
20,I do not use a streaming service.,0.5,No,Metal,Yes,Yes,150,Sometimes,Rarely,Sometimes,8,9,6,Improve
17,Spotify,3,Yes,Metal,Yes,No,104,Sometimes,Never,Very frequently,5,6,9,Improve
29,I do not use a streaming service.,2,Yes,Metal,Yes,No,,Never,Sometimes,Very frequently,9,3,7,Improve
20,Spotify,4,Yes,Hip hop,Yes,No,85,Very frequently,Sometimes,Sometimes,3,2,1,Improve
16,Spotify,2,Yes,Folk,Yes,No,,Rarely,Very frequently,Sometimes,7,7,4,Improve
21,Spotify,1,Yes,Rock,Yes,No,147,Sometimes,Very frequently,Very frequently,7,9,1,Improve
16,Spotify,24,Yes,Rock,Yes,Yes,120,Never,Rarely,Sometimes,5,1,9,Improve
43,Spotify,1,Yes,Pop,Yes,No,134,Sometimes,Very frequently,Sometimes,3,3,0,Improve
32,Pandora,2,Yes,Classical,Yes,No,,Sometimes,Very frequently,Very frequently,8,7,5,Improve
10,YouTube Music,2,Yes,Pop,Yes,Yes,112,Rarely,Very frequently,Never,8,2,1,Improve
27,Spotify,3,Yes,Metal,Yes,Yes,200,Sometimes,Sometimes,Very frequently,4,0,0,Improve
24,Spotify,3,Yes,Classical,No,Yes,75,Rarely,Rarely,Never,9,6,1,Improve
18,Spotify,2,Yes,Hip hop,Yes,Yes,20,Very frequently,Sometimes,Never,10,7,2,Improve
17,Apple Music,7,Yes,Rock,No,No,140,Never,Very frequently,Very frequently,8,7,7,Improve
19,Spotify,6,Yes,Metal,Yes,No,111,Never,Rarely,Very frequently,1,0,0,Improve
16,YouTube Music,3,Yes,Rock,Yes,Yes,150,Rarely,Sometimes,Very frequently,5,7,1,Improve
64,Other streaming service,5,Yes,Rock,Yes,No,,Sometimes,Rarely,Very frequently,7,6,9,Improve
33,Apple Music,4,Yes,Lofi,Yes,Yes,114,Sometimes,Sometimes,Sometimes,8,8,2,Improve
32,I do not use a streaming service.,3,Yes,Rock,No,Yes,93,Never,Rarely,Very frequently,2,2,8,No effect
15,Pandora,2,Yes,Pop,Yes,No,145,Never,Very frequently,Never,6,0,0,Improve
27,YouTube Music,3,Yes,Metal,Yes,Yes,100,Rarely,Sometimes,Very frequently,2,0,1,Improve
20,I do not use a streaming service.,2,Yes,Rock,Yes,No,114,Never,Sometimes,Very frequently,6,2,6,No effect
23,I do not use a streaming service.,2,Yes,Pop,Yes,Yes,109,Very frequently,Very frequently,Very frequently,6,1,0,Improve
19,Apple Music,3,No,Classical,Yes,No,,Sometimes,Sometimes,Very frequently,7,6,4,Improve
12,YouTube Music,2,Yes,Classical,No,No,,Never,Rarely,Never,0,0,3,Improve
16,Other streaming service,3,Yes,Classical,No,No,72,Never,Very frequently,Never,9,7,10,No effect
17,Other streaming service,0,No,Video game music,No,Yes,89,Never,Never,Never,10,0,0,No effect
14,Spotify,1,Yes,Pop,Yes,No,140,Sometimes,Very frequently,Sometimes,6,6,3,Improve
32,Spotify,2,Yes,Metal,Yes,No,84,Rarely,Sometimes,Sometimes,4,3,1,Improve
20,Spotify,2,Yes,Pop,No,Yes,132,Rarely,Never,Rarely,6,2,2,No effect
54,I do not use a streaming service.,6,Yes,Classical,No,No,,Sometimes,Sometimes,Rarely,2,2,3,Improve
18,Spotify,5,Yes,K pop,Yes,Yes,124,Rarely,Very frequently,Sometimes,7,4,5,Improve
14,Spotify,2,Yes,Classical,Yes,No,181,Rarely,Sometimes,Very frequently,7,5,3,Improve
13,Other streaming service,4,Yes,Classical,Yes,No,126,Never,Very frequently,Sometimes,8,5,10,Improve
19,Apple Music,8,Yes,Country,Yes,No,109,Never,Rarely,Sometimes,7,5,6,Improve
14,Spotify,4,Yes,Classical,Yes,No,106,Sometimes,Sometimes,Sometimes,6,8,8,Improve
14,YouTube Music,1.5,No,Classical,Yes,,140,Never,Never,Rarely,1,2,4,Improve
18,Apple Music,2,Yes,Rap,Yes,Yes,170,Very frequently,Sometimes,Rarely,3,2,0,Improve
15,Spotify,5,Yes,Folk,Yes,Yes,87,Sometimes,Never,Rarely,6,7,7,Improve
24,YouTube Music,6,Yes,Classical,No,No,,Never,Never,Rarely,6,7,2,No effect
17,Apple Music,2,Yes,Pop,No,Yes,117,Rarely,Very frequently,Never,9,8,4,Improve
44,Spotify,2,No,Rock,Yes,No,105,Sometimes,Sometimes,Very frequently,7,7,2,Improve
23,Spotify,1,No,Rock,Yes,No,,Never,Never,Very frequently,1,0,1,Improve
21,Apple Music,1,No,Rap,No,No,160,Sometimes,Sometimes,Rarely,4,3,4,Improve
57,Other streaming service,2,No,R&B,Yes,No,,Sometimes,Sometimes,Rarely,2,0,0,Improve
23,Spotify,2,Yes,Rock,Yes,Yes,141,Rarely,Very frequently,Very frequently,0,5,7,No effect
18,Spotify,1,Yes,Pop,No,Yes,105,Never,Very frequently,Never,8,7,7,Improve
26,Spotify,14,Yes,Hip hop,Yes,Yes,158,Very frequently,Sometimes,Very frequently,5,10,8,No effect
13,YouTube Music,3,Yes,Classical,No,No,80,Never,Never,Never,8,7,9,Improve
15,Spotify,3,Yes,Classical,Yes,No,118,Never,Sometimes,Never,9,6,8,Improve
57,YouTube Music,2,Yes,Rock,Yes,No,125,Rarely,Sometimes,Very frequently,2,2,7,No effect
12,Spotify,0.5,Yes,Classical,Yes,Yes,109,Never,Sometimes,Never,7,8,6,Improve
26,Spotify,6,Yes,EDM,No,Yes,156,Never,Rarely,Never,10,10,8,No effect
17,Spotify,1,Yes,Country,No,No,105,Never,Rarely,Sometimes,8,5,2,Improve
17,Spotify,2,Yes,Classical,Yes,Yes,,Never,Sometimes,Sometimes,7,8,2,Improve
69,Pandora,4,Yes,Classical,Yes,Yes,72,Rarely,Sometimes,Very frequently,1,1,2,Improve
17,Spotify,3,Yes,R&B,Yes,Yes,148,Very frequently,Very frequently,Sometimes,9,10,10,No effect
32,Spotify,12,Yes,Jazz,Yes,Yes,200,Sometimes,Rarely,Never,9,4,4,Improve
22,YouTube Music,3,No,Classical,Yes,No,113,Never,Rarely,Rarely,8,2,4,No effect
38,Spotify,1,No,Metal,Yes,Yes,191,Never,Never,Sometimes,1,1,5,Improve
18,YouTube Music,10,Yes,EDM,Yes,No,140,Sometimes,Very frequently,Never,10,9,9,Improve
14,Spotify,5,Yes,Classical,Yes,Yes,40,Rarely,Sometimes,Rarely,3,0,2,Improve
14,Other streaming service,0.5,Yes,Video game music,Yes,Yes,173,Never,Very frequently,Never,4,0,4,Improve
19,Spotify,5,Yes,Metal,Yes,Yes,180,Rarely,Sometimes,Very frequently,2,3,5,Improve
20,YouTube Music,3,Yes,Classical,Yes,No,100,Rarely,Sometimes,Rarely,2,3,3,Improve
18,Spotify,2,No,Rock,Yes,No,123,Rarely,Very frequently,Sometimes,8,4,3,Improve
30,Spotify,13,,K pop,Yes,Yes,145,Sometimes,Very frequently,Very frequently,10,10,10,Improve
31,I do not use a streaming service.,4,Yes,Classical,Yes,Yes,55,Never,Never,Sometimes,8,8,9,Improve
72,Spotify,6,Yes,Rock,No,No,77,Never,Rarely,Very frequently,0,1,0,Improve
73,Pandora,3,Yes,R&B,Yes,Yes,4,Sometimes,Sometimes,Sometimes,5,4,0,Improve
16,Spotify,4,Yes,Pop,Yes,Yes,150,Very frequently,Very frequently,Rarely,7.5,5,7,Improve
19,YouTube Music,3,No,Rap,Yes,Yes,73,Sometimes,Sometimes,Sometimes,3,3,0,Improve
16,Spotify,2,Yes,Classical,No,No,155,Rarely,Very frequently,Rarely,7,5,3,Improve
12,Spotify,2,Yes,Classical,Yes,Yes,,Sometimes,Sometimes,Sometimes,8,0,1,Improve
39,Spotify,1,Yes,Hip hop,Yes,Yes,89,Very frequently,Very frequently,Very frequently,6,4,1,Improve
15,Spotify,6,Yes,K pop,Yes,Yes,110,Rarely,Very frequently,Very frequently,8,8,7,No effect
14,Spotify,9,Yes,R&B,Yes,Yes,140,Sometimes,Very frequently,Rarely,10,8,9,Improve
21,Spotify,1,No,Country,No,No,135,Never,Never,Never,3,0,2,Improve
38,Apple Music,1,Yes,Video game music,No,No,125,Rarely,Sometimes,Rarely,5,5,7,Worsen
23,Spotify,0.5,No,Hip hop,Yes,Yes,110,Very frequently,Sometimes,Rarely,7,7,6,Improve
16,Other streaming service,1,No,EDM,Yes,No,140,Sometimes,Rarely,Sometimes,7,4,6,Improve
13,Spotify,6,Yes,Rap,Yes,No,112,Very frequently,Rarely,Never,4,0,0,Worsen
16,Spotify,4,Yes,Rock,Yes,No,96,Sometimes,Very frequently,Very frequently,3,0,6,Improve
18,Spotify,6,Yes,Rock,Yes,No,,Sometimes,Sometimes,Very frequently,5,1,6,Improve
21,Spotify,4,Yes,Metal,Yes,Yes,155,Never,Never,Very frequently,10,6,8,Improve
17,Spotify,1.5,Yes,Classical,Yes,Yes,174,Never,Very frequently,Never,7,5,1,No effect
24,Apple Music,2,Yes,Rock,Yes,Yes,93,Sometimes,Rarely,Very frequently,7,7,0,No effect
14,Apple Music,2,Yes,Pop,Yes,No,78,Sometimes,Very frequently,Rarely,6,0,0,Improve
25,Spotify,4,Yes,Rock,Yes,Yes,,Sometimes,Sometimes,Very frequently,6,2,3,Improve
22,Spotify,3,Yes,Lofi,Yes,Yes,174,Rarely,Rarely,Rarely,7,6,7,Improve
20,I do not use a streaming service.,4,Yes,Rock,Yes,Yes,120,Rarely,Very frequently,Very frequently,5,7,7,No effect
23,Spotify,2,Yes,Pop,No,No,75,Very frequently,Very frequently,Sometimes,7,6,4,Improve
61,Pandora,2,Yes,Rock,Yes,No,94,Never,Sometimes,Sometimes,2,2,2,Improve
24,Spotify,6,Yes,Video game music,No,Yes,180,Never,Rarely,Very frequently,9,5,0,Improve
34,Spotify,0,No,Rock,No,Yes,115,Never,Never,Very frequently,3,7,8,Worsen
49,Spotify,1,No,Pop,Yes,No,128,Very frequently,Very frequently,Sometimes,4,5,9,Improve
33,I do not use a streaming service.,4,Yes,Rock,Yes,Yes,112,Rarely,Sometimes,Very frequently,1,0,7,Improve
22,I do not use a streaming service.,2,No,Metal,No,No,140,Never,Rarely,Very frequently,3,2,0,No effect
38,Spotify,3,Yes,Metal,Yes,Yes,143,Never,Never,Sometimes,1,6,1,Improve
23,YouTube Music,4,No,Hip hop,Yes,No,72,Very frequently,Very frequently,Sometimes,8,10,4,No effect
34,I do not use a streaming service.,2,No,Video game music,No,Yes,100,Sometimes,Never,Rarely,8,10,10,No effect
40,Other streaming service,3,Yes,Metal,Yes,Yes,120,Never,Rarely,Sometimes,3,0,8,No effect
27,Spotify,1,No,Hip hop,Yes,No,,Very frequently,Sometimes,Never,3,4,1,Improve
54,YouTube Music,10,Yes,Rock,Yes,No,,Never,Rarely,Sometimes,2,1,2,Improve
16,Spotify,10,No,Rock,Yes,No,105,Rarely,Sometimes,Very frequently,0,0,0,No effect
23,I do not use a streaming service.,10,Yes,Video game music,No,Yes,119,Rarely,Sometimes,Sometimes,8,8,5,Improve
35,Spotify,4,No,Country,Yes,No,,Never,Sometimes,Sometimes,1,1,1,No effect
22,YouTube Music,4,Yes,Folk,Yes,Yes,137,Sometimes,Very frequently,Very frequently,8,7,6,Improve
41,Spotify,3,No,Metal,Yes,Yes,178,Never,Rarely,Sometimes,6,5,4,No effect
63,Spotify,2,Yes,Rock,Yes,No,133,Rarely,Never,Very frequently,5,4,6,Improve
28,Spotify,1,No,Rock,Yes,No,72,Rarely,Sometimes,Sometimes,3,1,0,No effect
22,Spotify,6,Yes,Country,Yes,No,,Sometimes,Sometimes,Very frequently,4,8,2,Improve
58,YouTube Music,1,Yes,Rock,Yes,No,133,Sometimes,Rarely,Sometimes,5,6,3,Improve
58,YouTube Music,1,Yes,Classical,Yes,No,80,Rarely,Rarely,Never,0,0,2,Improve
67,Other streaming service,4,Yes,Rock,No,No,146,Never,Never,Very frequently,7,6,7,Improve
70,I do not use a streaming service.,2,Yes,Country,No,No,88,Never,Never,Never,8,5,6,Improve
60,YouTube Music,2,Yes,Rock,No,Yes,132,Never,Sometimes,Very frequently,4,4,2,Improve
15,Spotify,2,Yes,Pop,Yes,No,102,Rarely,Very frequently,Sometimes,9,8,10,Improve
18,YouTube Music,6,Yes,EDM,Yes,Yes,91,Very frequently,Very frequently,Sometimes,5,5,7,Improve
58,Other streaming service,3,Yes,Hip hop,Yes,Yes,127,Very frequently,Rarely,Sometimes,4,6,8,Improve
28,Other streaming service,1,Yes,Lofi,Yes,Yes,82,Sometimes,Sometimes,Sometimes,4,8,5,Improve
22,Spotify,4,Yes,Lofi,Yes,No,141,Rarely,Sometimes,Very frequently,9,10,6,Improve
49,YouTube Music,0.5,No,Classical,No,No,114,Sometimes,Sometimes,Rarely,3,2,2,Improve
20,YouTube Music,8,Yes,Rock,Yes,Yes,148,Never,Rarely,Very frequently,6,2,2,Improve
55,YouTube Music,15,Yes,Rock,No,No,156,Never,Rarely,Very frequently,2,0,3,No effect
48,Spotify,1.5,Yes,Metal,No,No,185,Never,Never,Rarely,10,8,0,Improve
14,Spotify,2,Yes,K pop,Yes,Yes,114,Sometimes,Rarely,Never,4,4,2,Improve
18,Spotify,3,Yes,Pop,Yes,Yes,120,Very frequently,Very frequently,Sometimes,7,8,6,Improve
25,Spotify,1,Yes,Pop,Yes,Yes,80,Sometimes,Very frequently,Sometimes,7,6,5,Improve
71,I do not use a streaming service.,0.25,Yes,Gospel,No,Yes,,Never,Rarely,Rarely,1,0,0,Improve
60,YouTube Music,1,No,Gospel,No,No,,Rarely,Never,Rarely,6,2,8,Improve
18,I do not use a streaming service.,1,Yes,Video game music,No,No,116,Rarely,Never,Sometimes,4,5,7,No effect
19,Spotify,5,Yes,Hip hop,No,Yes,99,Very frequently,Sometimes,Rarely,10,7,0,Improve
74,I do not use a streaming service.,1,No,Pop,No,No,129,Never,Very frequently,Sometimes,4,2,1,Improve
36,Pandora,1,Yes,Hip hop,No,No,131,Very frequently,Very frequently,Sometimes,7,6,2,Improve
14,Spotify,7,Yes,Lofi,Yes,Yes,95,Sometimes,Very frequently,Never,3,2,8,Improve
20,Spotify,3,No,Hip hop,Yes,Yes,80,Very frequently,Sometimes,Very frequently,10,7,4,Improve
15,Spotify,3,Yes,K pop,Yes,Yes,204,Very frequently,Rarely,Sometimes,4,0,0,No effect
19,I do not use a streaming service.,7,Yes,Rock,No,No,128,Never,Never,Very frequently,7,7,0,Improve
29,Spotify,8,Yes,EDM,No,Yes,140,Sometimes,Never,Very frequently,6,7,4,Improve
24,Spotify,2,Yes,Metal,Yes,No,159,Never,Rarely,Sometimes,7,6,2,Improve
18,Apple Music,2,Yes,Pop,Yes,Yes,104,Very frequently,Very frequently,Very frequently,6,5,8,Improve
21,Spotify,2,Yes,Rock,Yes,Yes,97,Rarely,Very frequently,Very frequently,10,10,2,Improve
19,Spotify,2,Yes,K pop,Yes,Yes,80,Sometimes,Sometimes,Sometimes,7,6,5,Improve
