Age,Primary streaming service,Hours per day,While working,Fav genre,Exploratory,Foreign languages,BPM,Frequency [Hip hop],Frequency [Pop],Frequency [Rock],Anxiety,Depression,Insomnia,Music effects
22,Pandora,1,No,Rock,Yes,No,108,Never,Sometimes,Very frequently,8,7,0,Improve
15,Other streaming service,2,Yes,Rock,No,No,156,Never,Sometimes,Very frequently,3,2,6,Improve
25,Spotify,2,No,Metal,No,Yes,170,Rarely,Sometimes,Very frequently,5,5,3,No effect
32,Spotify,5,Yes,Rock,No,Yes,91,Sometimes,Very frequently,Very frequently,10,10,3,Worsen
36,Spotify,6,Yes,Metal,Yes,Yes,174,Never,Rarely,Sometimes,5,4,10,Improve
24,Spotify,3,No,Rock,Yes,Yes,130,Never,Very frequently,Very frequently,0,0,8,No effect
29,Spotify,4,No,Hip hop,Yes,No,140,Very frequently,Sometimes,Sometimes,8,8,5,Improve
41,Apple Music,3,Yes,Metal,Yes,Yes,130,Rarely,Sometimes,Rarely,10,7,8,Improve
36,I do not use a streaming service.,2,Yes,Rock,Yes,No,127,Rarely,Sometimes,Very frequently,7,3,1,Improve
19,YouTube Music,3,Yes,Rock,Yes,No,160,Sometimes,Sometimes,Very frequently,8,7,4,Improve
31,Spotify,2,Yes,Rock,Yes,Yes,,Never,Very frequently,Very frequently,10,2,0,No effect
16,Spotify,4,Yes,Rock,No,Yes,,Rarely,Very frequently,Very frequently,9,8,1,Improve
26,Spotify,2,Yes,Hip hop,Yes,Yes,165,Very frequently,Sometimes,Very frequently,6,3,1,Improve
22,Apple Music,0.5,No,Hip hop,No,No,113,Very frequently,Sometimes,Never,7,7,0,No effect
16,Spotify,5,Yes,Jazz,Yes,Yes,167,Rarely,Very frequently,Sometimes,7,7,8,Improve
17,Spotify,5,Yes,Metal,Yes,Yes,95,Never,Rarely,Very frequently,4,1,0,Improve
19,Spotify,10,Yes,R&B,Yes,Yes,110,Sometimes,Rarely,Never,7,2,1,Improve
18,YouTube Music,2,No,EDM,No,Yes,150,Rarely,Very frequently,Rarely,9,0,5,Improve
18,YouTube Music,4,Yes,Hip hop,Yes,Yes,93,Very frequently,Very frequently,Sometimes,2,7,1,Improve
19,Spotify,5,No,Rock,Yes,Yes,90,Sometimes,Rarely,Very frequently,10,8,7,Improve
19,Spotify,3,Yes,Jazz,Yes,No,118,Very frequently,Sometimes,Rarely,3,0,0,Improve
22,Spotify,2,Yes,K pop,Yes,Yes,126,Sometimes,Sometimes,Very frequently,7,8,5,No effect
16,Spotify,2.5,Yes,Rock,Yes,Yes,103,Rarely,Very frequently,Very frequently,2,1,0,Improve
19,Spotify,3,Yes,R&B,Yes,Yes,77,Very frequently,Very frequently,Rarely,5,4,0,Improve
37,Spotify,1,Yes,Rock,No,No,115,Rarely,Sometimes,Very frequently,9,10,6,No effect
14,Spotify,7,Yes,Jazz,No,No,110,Never,Sometimes,Very frequently,2,0,0,Improve
33,I do not use a streaming service.,1,No,Metal,No,Yes,,Sometimes,Sometimes,Sometimes,5,2,5,Improve
26,Spotify,1,No,R&B,No,No,113,Very frequently,Very frequently,Very frequently,3,2,0,No effect
32,Spotify,3,Yes,Hip hop,No,No,157,Very frequently,Sometimes,Rarely,2,0,7,No effect
30,Spotify,5,Yes,Metal,Yes,No,160,Rarely,Sometimes,Very frequently,7,6,6,No effect
43,I do not use a streaming service.,6,Yes,Video game music,Yes,Yes,109,Rarely,Sometimes,Sometimes,5,4,8,No effect
24,Spotify,4,Yes,Classical,Yes,Yes,175,Rarely,Very frequently,Very frequently,4,6,5,Improve
36,YouTube Music,1,Yes,Rock,Yes,No,110,Never,Sometimes,Very frequently,6,2,3,Improve
19,YouTube Music,4,Yes,Video game music,Yes,No,162,Rarely,Sometimes,Rarely,8,2,1,Improve
22,Spotify,10,Yes,Metal,Yes,Yes,189,Never,Rarely,Sometimes,9,6,0,Improve
20,Spotify,3,No,EDM,Yes,Yes,121,Sometimes,Sometimes,Sometimes,0,3,7,Improve
31,Spotify,2,No,Rock,Yes,No,200,Rarely,Sometimes,Very frequently,8,9,6,Improve
19,Spotify,4,Yes,Metal,Yes,Yes,105,Sometimes,Sometimes,Very frequently,4,1,1,Improve
15,Spotify,8,Yes,Rock,No,No,193,Never,Rarely,Very frequently,8,7,5,Improve
18,Spotify,2,No,Metal,Yes,Yes,149,Sometimes,Sometimes,Very frequently,3,4,6,Improve
25,I do not use a streaming service.,0.5,No,Classical,No,No,140,Never,Rarely,Very frequently,1,1,3,Improve
17,Apple Music,5,Yes,Metal,Yes,No,134,Sometimes,Sometimes,Very frequently,10,8,6,No effect
28,YouTube Music,1,No,Rock,Yes,No,120,Never,Rarely,Sometimes,6,6,2,No effect
20,Spotify,3,Yes,Rock,Yes,Yes,170,Rarely,Sometimes,Very frequently,6,7,0,Improve
21,YouTube Music,2,Yes,Metal,Yes,Yes,107,Never,Rarely,Sometimes,8,4,10,No effect
41,Spotify,3,Yes,Pop,No,Yes,113,Very frequently,Very frequently,Very frequently,9,7,6,No effect
20,Spotify,2,Yes,Pop,Yes,No,126,Rarely,Very frequently,Very frequently,7,4,6,Improve
34,Other streaming service,4,Yes,Metal,Yes,Yes,161,Sometimes,Rarely,Sometimes,6,7,0,No effect
21,YouTube Music,3,Yes,Metal,Yes,No,,Never,Very frequently,Very frequently,10,0,10,Improve
23,Spotify,2,Yes,Metal,Yes,Yes,100,Never,Rarely,Sometimes,6,3,0,Improve
16,Spotify,3,No,Pop,No,No,140,Sometimes,Very frequently,Never,7,5,5,Improve
19,YouTube Music,4,Yes,Pop,Yes,No,156,Sometimes,Very frequently,Sometimes,7,10,5,Improve
22,Spotify,2,Yes,Rock,Yes,Yes,98,Sometimes,Very frequently,Very frequently,8,6,0,Improve
19,Spotify,8,Yes,K pop,Yes,Yes,100,Sometimes,Very frequently,Rarely,4,3,0,Improve
23,Spotify,4,Yes,Hip hop,Yes,Yes,78,Very frequently,Very frequently,Sometimes,7,6,7,Improve
23,Spotify,2,No,Metal,No,Yes,117,Rarely,Never,Sometimes,7,3,2,Improve
22,Spotify,1,No,EDM,Yes,No,128,Sometimes,Very frequently,Sometimes,2,7,5,Improve
17,Spotify,3,Yes,Rock,Yes,No,130,Rarely,Very frequently,Very frequently,7,8,6,Improve
28,Spotify,0.5,No,Folk,Yes,No,130,Rarely,Sometimes,Very frequently,4,7,1,Improve
23,Spotify,2,No,Rock,Yes,Yes,,Sometimes,Very frequently,Very frequently,7,8,5,No effect
19,Apple Music,3,Yes,Rock,Yes,Yes,126,Very frequently,Rarely,Very frequently,5,2,8,Improve
17,Spotify,2,Yes,Hip hop,Yes,Yes,122,Very frequently,Rarely,Very frequently,10,7,4,Improve
21,YouTube Music,1,No,Rock,Yes,No,179,Sometimes,Rarely,Very frequently,6,5,0,No effect
29,Other streaming service,5,Yes,Jazz,Yes,Yes,200,Never,Never,Very frequently,7,2,3,Improve
22,Spotify,10,No,EDM,No,Yes,128,Never,Never,Sometimes,4,7,7,Improve
18,Spotify,4,Yes,Pop,Yes,Yes,130,Rarely,Very frequently,Very frequently,4,5,6,Improve
13,Spotify,2,Yes,Rock,Yes,No,120,Sometimes,Very frequently,Very frequently,7,10,5,Worsen
24,Spotify,1,No,Metal,Yes,No,86,Rarely,Sometimes,Very frequently,6,4,5,Improve
35,Spotify,6,Yes,Rock,Yes,Yes,166,Rarely,Sometimes,Very frequently,4,1,3,No effect
29,YouTube Music,1,Yes,Video game music,Yes,No,110,Never,Sometimes,Sometimes,6,6,1,Improve
